statistics,player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.injured,player.photo
"[{'team': {'id': 7915, 'name': 'Midtjylland U19', 'logo': 'https://media.api-sports.io/football/teams/7915.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 6, 'lineups': 6, 'minutes': 534, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 1, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 7, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",161790,A. Şimşir,Doğuhan Aral,Şimşir,22,2002-06-19,,Denmark,Türkiye,,,False,https://media.api-sports.io/football/players/161790.png
"[{'team': {'id': 7915, 'name': 'Midtjylland U19', 'logo': 'https://media.api-sports.io/football/teams/7915.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 4, 'lineups': 4, 'minutes': 313, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 3, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 7, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",156536,M. Hansen,Mads Kristian,Hansen,22,2002-07-28,Ikast,Denmark,Denmark,188 cm,70 kg,False,https://media.api-sports.io/football/players/156536.png
"[{'team': {'id': 7928, 'name': 'Salzburg U19', 'logo': 'https://media.api-sports.io/football/teams/7928.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 9, 'lineups': 9, 'minutes': 769, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 3, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 6, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",271066,R. Šimić,Roko,Šimić,21,2003-09-10,Milano,Italy,Croatia,190 cm,80 kg,False,https://media.api-sports.io/football/players/271066.png
"[{'team': {'id': 7890, 'name': 'Borussia Dortmund U19', 'logo': 'https://media.api-sports.io/football/teams/7890.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 5, 'lineups': 5, 'minutes': 369, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 4, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 6, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",286894,J. Gittens,Jamie Jermaine,Bynoe-Gittens,20,2004-08-08,,England,England,175 cm,70 kg,False,https://media.api-sports.io/football/players/286894.png
"[{'team': {'id': 17697, 'name': 'Hajduk Split U19', 'logo': 'https://media.api-sports.io/football/teams/17697.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 5, 'lineups': 5, 'minutes': 414, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 4, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 6, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",340569,F. Čuić,Filip,Čuić,21,2003-02-22,Split,Croatia,Bosnia and Herzegovina,,,False,https://media.api-sports.io/football/players/340569.png
"[{'team': {'id': 7888, 'name': 'Benfica U19', 'logo': 'https://media.api-sports.io/football/teams/7888.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 9, 'lineups': 4, 'minutes': 443, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 5, 'out': 4, 'bench': 5}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",335054,Luís Semedo,Luís Hemir,Silva Semedo,21,2003-08-11,Lisboa,Portugal,Portugal,192 cm,,False,https://media.api-sports.io/football/players/335054.png
"[{'team': {'id': 7921, 'name': 'PSG U19', 'logo': 'https://media.api-sports.io/football/teams/7921.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 8, 'lineups': 8, 'minutes': 688, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 5, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",336563,D. Gassama,Djeidi,Gassama,21,2003-09-10,,France,France,177 cm,,False,https://media.api-sports.io/football/players/336563.png
"[{'team': {'id': 7898, 'name': 'Dynamo Kyiv U19', 'logo': 'https://media.api-sports.io/football/teams/7898.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 8, 'lineups': 8, 'minutes': 698, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 3, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 3, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",214276,S. Diallo,Samba,Diallo,21,2003-01-05,,Senegal,Senegal,168 cm,64 kg,False,https://media.api-sports.io/football/players/214276.png
"[{'team': {'id': 7890, 'name': 'Borussia Dortmund U19', 'logo': 'https://media.api-sports.io/football/teams/7890.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 8, 'lineups': 8, 'minutes': 699, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 1, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 4, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",161920,B. Fink,Bradley Thomas,Fink,21,2003-04-17,,Switzerland,Switzerland,192 cm,87 kg,False,https://media.api-sports.io/football/players/161920.png
"[{'team': {'id': 7972, 'name': 'Žilina U19', 'logo': 'https://media.api-sports.io/football/teams/7972.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 6, 'lineups': 5, 'minutes': 397, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 1, 'out': 3, 'bench': 1}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",265385,T. Jambor,Timotej,Jambor,21,2003-04-04,,Slovakia,Slovakia,187 cm,,False,https://media.api-sports.io/football/players/265385.png
"[{'team': {'id': 7893, 'name': 'Club Brugge U19', 'logo': 'https://media.api-sports.io/football/teams/7893.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 6, 'lineups': 6, 'minutes': 523, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 4, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",162211,C. Sandra,Cisse,Sandra,21,2003-12-16,,Belgium,Belgium,184 cm,74 kg,False,https://media.api-sports.io/football/players/162211.png
"[{'team': {'id': 7915, 'name': 'Midtjylland U19', 'logo': 'https://media.api-sports.io/football/teams/7915.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 6, 'lineups': 6, 'minutes': 533, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 2, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 2, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",180298,O. Fraulo,Oscar Luigi,Fraulo,21,2003-12-06,Odense,Denmark,Denmark,180 cm,77 kg,False,https://media.api-sports.io/football/players/180298.png
"[{'team': {'id': 7912, 'name': 'MTK U19', 'logo': 'https://media.api-sports.io/football/teams/7912.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 4, 'lineups': 4, 'minutes': 350, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 2, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",293161,Z. Vancsa,Zalán,Vancsa,20,2004-10-27,,Hungary,Hungary,,,False,https://media.api-sports.io/football/players/293161.png
"[{'team': {'id': 7914, 'name': 'Manchester City U19', 'logo': 'https://media.api-sports.io/football/teams/7914.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 3, 'lineups': 3, 'minutes': 251, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 1, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",158697,J. McAtee,James John,McAtee,22,2002-10-18,Salford,England,England,180 cm,,False,https://media.api-sports.io/football/players/158697.png
"[{'team': {'id': 7888, 'name': 'Benfica U19', 'logo': 'https://media.api-sports.io/football/teams/7888.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 10, 'lineups': 10, 'minutes': 768, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 10, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",335042,Pedro Santos,Pedro Miguel,Costa Santos,21,2003-02-10,Sanguedo,Portugal,Portugal,178 cm,66 kg,False,https://media.api-sports.io/football/players/335042.png
"[{'team': {'id': 7888, 'name': 'Benfica U19', 'logo': 'https://media.api-sports.io/football/teams/7888.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 10, 'lineups': 9, 'minutes': 782, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 1, 'out': 5, 'bench': 1}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 2, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",335056,Diego Moreira,Diego Manuel Jadon,da Silva Moreira,20,2004-08-06,,Belgium,Portugal,179 cm,73 kg,False,https://media.api-sports.io/football/players/335056.png
"[{'team': {'id': 7888, 'name': 'Benfica U19', 'logo': 'https://media.api-sports.io/football/teams/7888.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 10, 'lineups': 10, 'minutes': 811, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 7, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",271580,Martim Neto,Martim,Carvalho Neto,21,2003-01-14,,Portugal,Portugal,185 cm,82 kg,False,https://media.api-sports.io/football/players/271580.png
"[{'team': {'id': 7890, 'name': 'Borussia Dortmund U19', 'logo': 'https://media.api-sports.io/football/teams/7890.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 9, 'lineups': 5, 'minutes': 429, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 4, 'out': 4, 'bench': 4}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",335335,J. Rijkhoff,Julian Dean,Rijkhoff,19,2005-01-25,Purmerend,Netherlands,Netherlands,183 cm,,False,https://media.api-sports.io/football/players/335335.png
"[{'team': {'id': 7904, 'name': 'Juventus U19', 'logo': 'https://media.api-sports.io/football/teams/7904.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 8, 'lineups': 8, 'minutes': 637, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 7, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",270511,A. Chibozo,Ange Josué,Chibozo,21,2003-07-01,,Benin,Benin,,,False,https://media.api-sports.io/football/players/270511.png
