statistics,player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.injured,player.photo
"[{'team': {'id': 7921, 'name': 'PSG U19', 'logo': 'https://media.api-sports.io/football/teams/7921.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2021}, 'games': {'appearences': 7, 'lineups': 7, 'minutes': 610, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 1, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 3, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",162016,X. Simons,Xavier Quentin Shay,Simons,21,2003-04-21,Amsterdam,Netherlands,Netherlands,179 cm,58 kg,False,https://media.api-sports.io/football/players/162016.png
"[{'team': {'id': 16384, 'name': 'AZ U19', 'logo': 'https://media.api-sports.io/football/teams/16384.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 6, 'lineups': 3, 'minutes': 344, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 3, 'out': 1, 'bench': 3}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 9, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 2, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",342954,M. Meerdink,Mexx,Meerdink,21,2003-07-24,Winterswijk,Netherlands,Netherlands,182 cm,69 kg,False,https://media.api-sports.io/football/players/342954.png
"[{'team': {'id': 20236, 'name': 'Panathinaikos U19', 'logo': 'https://media.api-sports.io/football/teams/20236.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 4, 'lineups': 4, 'minutes': 325, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 3, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 9, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",351156,Bilal Mazhar,Bilal Mazhar Mohamed Abdelrahm,Abdelgalil Zeeni,21,2003-11-21,Châteauroux,France,Egypt,183 cm,75 kg,False,https://media.api-sports.io/football/players/351156.png
"[{'team': {'id': 16384, 'name': 'AZ U19', 'logo': 'https://media.api-sports.io/football/teams/16384.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 9, 'lineups': 9, 'minutes': 762, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 5, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 8, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",312840,E. Poku,Ernest,Poku,20,2004-01-28,Amsterdam,Netherlands,Netherlands,173 cm,63 kg,False,https://media.api-sports.io/football/players/312840.png
"[{'team': {'id': 7884, 'name': 'Atlético Madrid U19', 'logo': 'https://media.api-sports.io/football/teams/7884.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 8, 'lineups': 8, 'minutes': 560, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 7, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 8, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",386850,Adrián Niño,Adrián,Niño Heredia,20,2004-06-19,Rota,Spain,Spain,175 cm,,False,https://media.api-sports.io/football/players/386850.png
"[{'team': {'id': 7921, 'name': 'PSG U19', 'logo': 'https://media.api-sports.io/football/teams/7921.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 7, 'lineups': 7, 'minutes': 611, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 2, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 8, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",386275,I. Housni,Ilyes,Housni,19,2005-05-14,Créteil,France,Morocco,176 cm,70 kg,False,https://media.api-sports.io/football/players/386275.png
"[{'team': {'id': 7997, 'name': 'Sporting CP U19', 'logo': 'https://media.api-sports.io/football/teams/7997.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 9, 'lineups': 9, 'minutes': 783, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 5, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 7, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",341641,Rodrigo Ribeiro,Rodrigo,Duarte Ribeiro,19,2005-04-28,Viana Do Castelo,Portugal,Portugal,185 cm,72 kg,False,https://media.api-sports.io/football/players/341641.png
"[{'team': {'id': 7885, 'name': 'Barcelona U19', 'logo': 'https://media.api-sports.io/football/teams/7885.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 5, 'lineups': 5, 'minutes': 406, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 3, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 7, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",336554,Víctor Barberá,Víctor,Barberá Romero,20,2004-08-20,Barcelona,Spain,Spain,177 cm,67 kg,False,https://media.api-sports.io/football/players/336554.png
"[{'team': {'id': 7909, 'name': 'Liverpool U19', 'logo': 'https://media.api-sports.io/football/teams/7909.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 4, 'lineups': 4, 'minutes': 277, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 3, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 7, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",288101,O. Cannonier,Oakley William,Cannonier,20,2004-05-06,,England,England,,,False,https://media.api-sports.io/football/players/288101.png
"[{'team': {'id': 7928, 'name': 'Salzburg U19', 'logo': 'https://media.api-sports.io/football/teams/7928.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 7, 'lineups': 7, 'minutes': 619, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 1, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 6, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",331865,K. Konaté,Karim,Konaté,20,2004-03-21,Koumassi,Côte d'Ivoire,Côte d'Ivoire,178 cm,68 kg,False,https://media.api-sports.io/football/players/331865.png
"[{'team': {'id': 7921, 'name': 'PSG U19', 'logo': 'https://media.api-sports.io/football/teams/7921.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 6, 'lineups': 6, 'minutes': 522, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 1, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 6, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",310196,Ismaël Gharbi,Ismaël Seifallah,Gharbi,20,2004-04-10,Paris,France,Spain,173 cm,67 kg,False,https://media.api-sports.io/football/players/310196.png
"[{'team': {'id': 7890, 'name': 'Borussia Dortmund U19', 'logo': 'https://media.api-sports.io/football/teams/7890.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 9, 'lineups': 9, 'minutes': 734, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 5, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",335335,J. Rijkhoff,Julian Dean,Rijkhoff,19,2005-01-25,Purmerend,Netherlands,Netherlands,183 cm,,False,https://media.api-sports.io/football/players/335335.png
"[{'team': {'id': 17697, 'name': 'Hajduk Split U19', 'logo': 'https://media.api-sports.io/football/teams/17697.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 8, 'lineups': 8, 'minutes': 698, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 3, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",340570,J. Vrcić,Jere,Vrcić,20,2004-09-30,,Croatia,Croatia,,,False,https://media.api-sports.io/football/players/340570.png
"[{'team': {'id': 7926, 'name': 'Real Madrid U19', 'logo': 'https://media.api-sports.io/football/teams/7926.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 7, 'lineups': 5, 'minutes': 456, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 2, 'out': 3, 'bench': 2}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",350037,N. Paz,Nicolás,Paz Martínez,20,2004-09-08,Santa Cruz de Tenerife,Spain,Argentina,186 cm,74 kg,False,https://media.api-sports.io/football/players/350037.png
"[{'team': {'id': 7926, 'name': 'Real Madrid U19', 'logo': 'https://media.api-sports.io/football/teams/7926.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 7, 'lineups': 7, 'minutes': 554, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 5, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",386306,César Palacios,César,Palacios Pérez,20,2004-11-11,Soria,Spain,Spain,182 cm,68 kg,False,https://media.api-sports.io/football/players/386306.png
"[{'team': {'id': 7922, 'name': 'Porto U19', 'logo': 'https://media.api-sports.io/football/teams/7922.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 7, 'lineups': 7, 'minutes': 576, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 4, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 5, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",336603,Jorge Meireles,Jorge,Monteiro Meireles,20,2004-04-04,,Portugal,Portugal,,,False,https://media.api-sports.io/football/players/336603.png
"[{'team': {'id': 7884, 'name': 'Atlético Madrid U19', 'logo': 'https://media.api-sports.io/football/teams/7884.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 8, 'lineups': 7, 'minutes': 545, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 1, 'out': 5, 'bench': 1}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",386849,A. Raihani,Abdellah,Raihani Ennaou,20,2004-02-03,Barcelona,Spain,Morocco,187 cm,,False,https://media.api-sports.io/football/players/386849.png
"[{'team': {'id': 7926, 'name': 'Real Madrid U19', 'logo': 'https://media.api-sports.io/football/teams/7926.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 8, 'lineups': 8, 'minutes': 598, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 6, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",371913,Pol Fortuny,Pol,Fortuny Aubareda,19,2005-03-11,Tarragona,Spain,Spain,168 cm,,False,https://media.api-sports.io/football/players/371913.png
"[{'team': {'id': 7909, 'name': 'Liverpool U19', 'logo': 'https://media.api-sports.io/football/teams/7909.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 8, 'lineups': 8, 'minutes': 623, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 4, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 2, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",343576,B. Doak,Ben Gannon,Doak,19,2005-11-11,Dalry,Scotland,Scotland,175 cm,65 kg,False,https://media.api-sports.io/football/players/343576.png
"[{'team': {'id': 16384, 'name': 'AZ U19', 'logo': 'https://media.api-sports.io/football/teams/16384.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 8, 'lineups': 8, 'minutes': 689, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 3, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 3, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",354533,J. Addai,Jayden,Osei Addai,19,2005-08-26,,Ghana,Netherlands,175 cm,74 kg,False,https://media.api-sports.io/football/players/354533.png
"[{'team': {'id': 15670, 'name': 'Milan U19', 'logo': 'https://media.api-sports.io/football/teams/15670.png'}, 'league': {'id': 14, 'name': 'UEFA Youth League', 'country': 'World', 'logo': 'https://media.api-sports.io/football/leagues/14.png', 'flag': None, 'season': 2022}, 'games': {'appearences': 7, 'lineups': 3, 'minutes': 315, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': 4, 'out': 2, 'bench': 4}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 4, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 1, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",336608,G. Alesi,Gabriele,Alesi,20,2004-01-28,Alcamo,Italy,Italy,175 cm,,False,https://media.api-sports.io/football/players/336608.png
